epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.3624,1.30569,2.68394,1.14679,0.00333,0.00952,3e-05,1e-05,1.55939,4.9756,1.16199,0,0,0
2,11.1112,1.93598,3.73417,1.27902,0.00333,0.00952,3e-05,1e-05,1.55939,4.9756,1.16199,0.000660067,0.000660067,0.000660067
3,16.6276,1.40389,3.58233,1.12841,0.00333,0.00952,3e-05,1e-05,1.55939,4.9756,1.16199,0.00130693,0.00130693,0.00130693
4,23.1109,1.87523,3.92889,1.33849,0.00333,0.00952,3e-05,1e-05,1.55939,4.9756,1.16199,0.0019406,0.0019406,0.0019406
5,29.0996,1.62229,3.81321,1.21138,0.00333,0.00952,3e-05,1e-05,1.55939,4.9756,1.16199,0.0019208,0.0019208,0.0019208
6,35.8083,3.67156,5.13711,1.86768,0.00333,0.00952,3e-05,1e-05,1.55939,4.9756,1.16199,0.001901,0.001901,0.001901
7,43.5615,2.73691,4.14118,1.44607,0,0,0,0,4.7398,595.863,4.27277,0.0018812,0.0018812,0.0018812
8,50.1525,2.90869,6.92301,1.54146,0,0,0,0,4.7398,595.863,4.27277,0.0018614,0.0018614,0.0018614
9,55.4765,3.14793,6.51226,1.68494,0,0,0,0,4.7398,595.863,4.27277,0.0018416,0.0018416,0.0018416
10,61.0553,3.58439,8.06996,1.64931,0,0,0,0,4.7398,595.863,4.27277,0.0018218,0.0018218,0.0018218
11,66.5635,3.44515,7.285,1.89569,0,0,0,0,4.7398,595.863,4.27277,0.001802,0.001802,0.001802
12,72.7343,3.64078,8.10334,1.70687,0,0,0,0,4.7398,595.863,4.27277,0.0017822,0.0017822,0.0017822
13,78.3741,3.5645,9.15189,1.6454,0.00181,0.00476,3e-05,1e-05,5.97315,1046,4.18904,0.0017624,0.0017624,0.0017624
14,83.5587,2.90309,10.8073,1.39884,0.00181,0.00476,3e-05,1e-05,5.97315,1046,4.18904,0.0017426,0.0017426,0.0017426
15,89.0445,2.57809,11.8834,1.26406,0.00181,0.00476,3e-05,1e-05,5.97315,1046,4.18904,0.0017228,0.0017228,0.0017228
16,94.6923,2.43357,8.93264,1.43782,0.00181,0.00476,3e-05,1e-05,5.97315,1046,4.18904,0.001703,0.001703,0.001703
17,100.159,2.58277,13.0183,1.48552,0.00181,0.00476,3e-05,1e-05,5.97315,1046,4.18904,0.0016832,0.0016832,0.0016832
18,106.239,2.72003,11.0841,1.3242,0.00181,0.00476,3e-05,1e-05,5.97315,1046,4.18904,0.0016634,0.0016634,0.0016634
19,112.471,2.68152,10.9839,1.38262,0,0,0,0,0.00406,9.92823e+07,270.872,0.0016436,0.0016436,0.0016436
20,117.522,2.2512,3.97331,1.28028,0,0,0,0,0.00406,9.92823e+07,270.872,0.0016238,0.0016238,0.0016238
21,122.32,2.18861,3.59019,1.36359,0,0,0,0,0.00406,9.92823e+07,270.872,0.001604,0.001604,0.001604
22,127.455,2.47885,3.77338,1.28486,0,0,0,0,0.00406,9.92823e+07,270.872,0.0015842,0.0015842,0.0015842
23,132.968,2.5106,3.93038,1.29977,0,0,0,0,0.00406,9.92823e+07,270.872,0.0015644,0.0015644,0.0015644
24,138.67,2.31752,3.32118,1.37668,0,0,0,0,0.00406,9.92823e+07,270.872,0.0015446,0.0015446,0.0015446
25,144.44,2.95152,3.83001,1.40856,0.025,0.07143,0.00208,0.0003,4.63313,1.96054e+06,1729.76,0.0015248,0.0015248,0.0015248
26,150.464,2.48994,3.04271,1.39519,0.025,0.07143,0.00208,0.0003,4.63313,1.96054e+06,1729.76,0.001505,0.001505,0.001505
27,156.551,2.89212,2.44748,1.34017,0.025,0.07143,0.00208,0.0003,4.63313,1.96054e+06,1729.76,0.0014852,0.0014852,0.0014852
